variable_name,type,lower_bound,upper_bound
R0201080,DoubleBound,0,1
R0301025,DoubleBound,0,1
R0202142,DoubleBound,0,1
R0202340,DoubleBound,0,1
R0201583,DoubleBound,0,1
R0201197,DoubleBound,0,1
R0202308,DoubleBound,0,1
R0102499,DoubleBound,0,1
R0300109,DoubleBound,0,1
R0300965,DoubleBound,0,1
R0301595,DoubleBound,0,1
R0100303,DoubleBound,0,0.5
R0200439,DoubleBound,0,1
R0402439,DoubleBound,0,8
R0402882,DoubleBound,0,8
R0202469,DoubleBound,0,1
R0101718,DoubleBound,0,1
R0200762,DoubleBound,0,1
R0201153,DoubleBound,0,1
R0402437,DoubleBound,0,8
R0301688,DoubleBound,0,1
R0201853,DoubleBound,0,1
R0101686,DoubleBound,0,1
R0100450,DoubleBound,0,0.5
R0300537,DoubleBound,0,1
R0300790,DoubleBound,0,1
R0101572,DoubleBound,0,1
R0102329,DoubleBound,0,1
R0201360,DoubleBound,0,1
R0100453,DoubleBound,0,0.5
R0101613,DoubleBound,0,1
R0301622,DoubleBound,0,1
R0102261,DoubleBound,0,1
R0100285,DoubleBound,0,0.5
R0202054,DoubleBound,0,1
R0102737,DoubleBound,0,1
R0402212,DoubleBound,0,8
R0302386,DoubleBound,0,1
R0401836,DoubleBound,0,8
R0302571,DoubleBound,0,1
R0202809,DoubleBound,0,1
R0200846,DoubleBound,0,1
R0402575,DoubleBound,0,8
R0200220,DoubleBound,0,1
R0401819,DoubleBound,0,8
R0402790,DoubleBound,0,8
R0101862,DoubleBound,0,1
R0100123,DoubleBound,0,0.5
R0401908,DoubleBound,0,8
R0202193,DoubleBound,0,1
R0202508,DoubleBound,0,1
R0301089,DoubleBound,0,1
R0101543,DoubleBound,0,1
R0100592,DoubleBound,0,0.5
R0301610,DoubleBound,0,1
R0201885,DoubleBound,0,1
R0402459,DoubleBound,0,8
R0302809,DoubleBound,0,1
R0101872,DoubleBound,0,1
R0301738,DoubleBound,0,1
R0302611,DoubleBound,0,1
R0102070,DoubleBound,0,1
R0100087,DoubleBound,0,0.5
R0300852,DoubleBound,0,1
R0300948,DoubleBound,0,1
R0101261,DoubleBound,0,0.5
R0402645,DoubleBound,0,8
R0301717,DoubleBound,0,1
R0302859,DoubleBound,0,1
R0200007,DoubleBound,0,1
R0200880,DoubleBound,0,1
R0301148,DoubleBound,0,1
R0302103,DoubleBound,0,1
R0401567,DoubleBound,0,8
R0302903,DoubleBound,0,1
R0302845,DoubleBound,0,1
R0401550,DoubleBound,0,8
R0301479,DoubleBound,0,1
R0102242,DoubleBound,0,1
R0100118,DoubleBound,0,0.5
R0302726,DoubleBound,0,1
R0402744,DoubleBound,0,8
R0402594,DoubleBound,0,8
R0201407,DoubleBound,0,1
R0202533,DoubleBound,0,1
R0301651,DoubleBound,0,1
R0200733,DoubleBound,0,1
R0301508,DoubleBound,0,1
R0301735,DoubleBound,0,1
R0301271,DoubleBound,0,1
R0100897,DoubleBound,0,0.5
R0301066,DoubleBound,0,1
R0101181,DoubleBound,0,0.5
R0201964,DoubleBound,0,1
R0301780,DoubleBound,0,1
R0302184,DoubleBound,0,1
R0301032,DoubleBound,0,1
R0202911,DoubleBound,0,1
R0101406,DoubleBound,0,0.5
R0201194,DoubleBound,0,1
R0301804,DoubleBound,0,1
R0200519,DoubleBound,0,1
R0300849,DoubleBound,0,1
R0201297,DoubleBound,0,1
R0200629,DoubleBound,0,1
R0300812,DoubleBound,0,1
R0100957,DoubleBound,0,0.5
R0401523,DoubleBound,0,8
R0302097,DoubleBound,0,1
R0101230,DoubleBound,0,0.5
R0202659,DoubleBound,0,1
R0302743,DoubleBound,0,1
R0300934,DoubleBound,0,1
R0302964,DoubleBound,0,1
R0302975,DoubleBound,0,1
R0102273,DoubleBound,0,1
R0201213,DoubleBound,0,1
R0100084,DoubleBound,0,0.5
R0301674,DoubleBound,0,1
R0202683,DoubleBound,0,1
R0202989,DoubleBound,0,1
R0202963,DoubleBound,0,1
R0101519,DoubleBound,0,1
R0402915,DoubleBound,0,8
R0102156,DoubleBound,0,1
R0102998,DoubleBound,0,1
R0200812,DoubleBound,0,1
R0300712,DoubleBound,0,1
R0100245,DoubleBound,0,0.5
R0301897,DoubleBound,0,1
R0201039,DoubleBound,0,1
R0300326,DoubleBound,0,1
R0200122,DoubleBound,0,1
R0200940,DoubleBound,0,1
R0202131,DoubleBound,0,1
R0402520,DoubleBound,0,8
R0402917,DoubleBound,0,8
R0200989,DoubleBound,0,1
R0100267,DoubleBound,0,0.5
R0201219,DoubleBound,0,1
R0101699,DoubleBound,0,1
R0100057,DoubleBound,0,0.5
R0201352,DoubleBound,0,1
R0302200,DoubleBound,0,1
R0402489,DoubleBound,0,8
R0200290,DoubleBound,0,1
R0200152,DoubleBound,0,1
R0201064,DoubleBound,0,1
R0201740,DoubleBound,0,1
R0401504,DoubleBound,0,8
R0300325,DoubleBound,0,1
R0102369,DoubleBound,0,1
R0101931,DoubleBound,0,1
R0302072,DoubleBound,0,1
R0101173,DoubleBound,0,0.5
R0300321,DoubleBound,0,1
R0101582,DoubleBound,0,1
R0202428,DoubleBound,0,1
R0301840,DoubleBound,0,1
R0301991,DoubleBound,0,1
R0102732,DoubleBound,0,1
R0102046,DoubleBound,0,1
R0100009,DoubleBound,0,0.5
R0101344,DoubleBound,0,0.5
R0301741,DoubleBound,0,1
R0202863,DoubleBound,0,1
R0402990,DoubleBound,0,8
R0102906,DoubleBound,0,1
R0101310,DoubleBound,0,0.5
R0200150,DoubleBound,0,1
R0301570,DoubleBound,0,1
R0201622,DoubleBound,0,1
R0401681,DoubleBound,0,8
R0402191,DoubleBound,0,8
R0202778,DoubleBound,0,1
R0302281,DoubleBound,0,1
R0202890,DoubleBound,0,1
R0201394,DoubleBound,0,1
R0202144,DoubleBound,0,1
R0101044,DoubleBound,0,0.5
R0301354,DoubleBound,0,1
R0201376,DoubleBound,0,1
R0402363,DoubleBound,0,8
R0302101,DoubleBound,0,1
R0100202,DoubleBound,0,0.5
R0100001,DoubleBound,0,0.5
R0201470,DoubleBound,0,1
R0300618,DoubleBound,0,1
R0200946,DoubleBound,0,1
R0301230,DoubleBound,0,1
R0300235,DoubleBound,0,1
R0301898,DoubleBound,0,1
R0301692,DoubleBound,0,1
R0401710,DoubleBound,0,8
R0301907,DoubleBound,0,1
R0402251,DoubleBound,0,8
R0202085,DoubleBound,0,1
R0300028,DoubleBound,0,1
R0201126,DoubleBound,0,1
R0401980,DoubleBound,0,8
R0402752,DoubleBound,0,8
R0200708,DoubleBound,0,1
R0202311,DoubleBound,0,1
R0300350,DoubleBound,0,1
R0100143,DoubleBound,0,0.5
R0301988,DoubleBound,0,1
R0201990,DoubleBound,0,1
R0302380,DoubleBound,0,1
R0202743,DoubleBound,0,1
R0100698,DoubleBound,0,0.5
R0200522,DoubleBound,0,1
R0402419,DoubleBound,0,8
R0300087,DoubleBound,0,1
R0102863,DoubleBound,0,1
R0102104,DoubleBound,0,1
R0101671,DoubleBound,0,1
R0101618,DoubleBound,0,1
R0102425,DoubleBound,0,1
R0302435,DoubleBound,0,1
R0101046,DoubleBound,0,0.5
R0300988,DoubleBound,0,1
R0301637,DoubleBound,0,1
R0100800,DoubleBound,0,0.5
R0300693,DoubleBound,0,1
R0202789,DoubleBound,0,1
R0101962,DoubleBound,0,1
R0200378,DoubleBound,0,1
R0200543,DoubleBound,0,1
R0101434,DoubleBound,0,0.5
R0202511,DoubleBound,0,1
R0202710,DoubleBound,0,1
R0301431,DoubleBound,0,1
R0402780,DoubleBound,0,8
R0102361,DoubleBound,0,1
R0202679,DoubleBound,0,1
R0301366,DoubleBound,0,1
R0402943,DoubleBound,0,8
R0100097,DoubleBound,0,0.5
R0101454,DoubleBound,0,0.5
R0202036,DoubleBound,0,1
R0100725,DoubleBound,0,0.5
R0302130,DoubleBound,0,1
R0200186,DoubleBound,0,1
R0100464,DoubleBound,0,0.5
R0300775,DoubleBound,0,1
R0401843,DoubleBound,0,8
R0302553,DoubleBound,0,1
R0300208,DoubleBound,0,1
R0301591,DoubleBound,0,1
R0402996,DoubleBound,0,8
R0302887,DoubleBound,0,1
R0100708,DoubleBound,0,0.5
R0402562,DoubleBound,0,8
R0102941,DoubleBound,0,1
R0202495,DoubleBound,0,1
R0200841,DoubleBound,0,1
R0100630,DoubleBound,0,0.5
R0102635,DoubleBound,0,1
R0302532,DoubleBound,0,1
R0302379,DoubleBound,0,1
R0200085,DoubleBound,0,1
R0201465,DoubleBound,0,1
R0201550,DoubleBound,0,1
R0402414,DoubleBound,0,8
R0201757,DoubleBound,0,1
R0202609,DoubleBound,0,1
R0200230,DoubleBound,0,1
R0301247,DoubleBound,0,1
R0302705,DoubleBound,0,1
R0202268,DoubleBound,0,1
R0302029,DoubleBound,0,1
R0300677,DoubleBound,0,1
R0401930,DoubleBound,0,8
R0201131,DoubleBound,0,1
R0301521,DoubleBound,0,1
R0301214,DoubleBound,0,1
R0402431,DoubleBound,0,8
R0100975,DoubleBound,0,0.5
R0301722,DoubleBound,0,1
R0202731,DoubleBound,0,1
R0101726,DoubleBound,0,1
R0201135,DoubleBound,0,1
R0300375,DoubleBound,0,1
R0100334,DoubleBound,0,0.5
R0100236,DoubleBound,0,0.5
R0101045,DoubleBound,0,0.5
R0100159,DoubleBound,0,0.5
R0200748,DoubleBound,0,1
R0201189,DoubleBound,0,1
R0100326,DoubleBound,0,0.5
R0402897,DoubleBound,0,8
R0201854,DoubleBound,0,1
R0302713,DoubleBound,0,1
R0100286,DoubleBound,0,0.5
R0200362,DoubleBound,0,1
R0301504,DoubleBound,0,1
R0402066,DoubleBound,0,8
R0101912,DoubleBound,0,1
R0200197,DoubleBound,0,1
R0101140,DoubleBound,0,0.5
R0302393,DoubleBound,0,1
R0402695,DoubleBound,0,8
R0401690,DoubleBound,0,8
R0201474,DoubleBound,0,1
R0100215,DoubleBound,0,0.5
R0100862,DoubleBound,0,0.5
R0201218,DoubleBound,0,1
R0401755,DoubleBound,0,8
R0201534,DoubleBound,0,1
R0200015,DoubleBound,0,1
R0301788,DoubleBound,0,1
R0201960,DoubleBound,0,1
R0302091,DoubleBound,0,1
R0102251,DoubleBound,0,1
R0401689,DoubleBound,0,8
R0202202,DoubleBound,0,1
R0202251,DoubleBound,0,1
R0302622,DoubleBound,0,1
R0202896,DoubleBound,0,1
R0102227,DoubleBound,0,1
R0201398,DoubleBound,0,1
R0201718,DoubleBound,0,1
R0302146,DoubleBound,0,1
R0101069,DoubleBound,0,0.5
R0201336,DoubleBound,0,1
R0300179,DoubleBound,0,1
R0301743,DoubleBound,0,1
R0301604,DoubleBound,0,1
R0301798,DoubleBound,0,1
R0201837,DoubleBound,0,1
R0100198,DoubleBound,0,0.5
R0100473,DoubleBound,0,0.5
R0101274,DoubleBound,0,0.5
R0100444,DoubleBound,0,0.5
R0201478,DoubleBound,0,1
R0201616,DoubleBound,0,1
R0100372,DoubleBound,0,0.5
R0100121,DoubleBound,0,0.5
R0100512,DoubleBound,0,0.5
R0202293,DoubleBound,0,1
R0302815,DoubleBound,0,1
R0302868,DoubleBound,0,1
R0101958,DoubleBound,0,1
R0100018,DoubleBound,0,0.5
R0101150,DoubleBound,0,0.5
R0202364,DoubleBound,0,1
R0402678,DoubleBound,0,8
R0300480,DoubleBound,0,1
R0300908,DoubleBound,0,1
R0101252,DoubleBound,0,0.5
R0100805,DoubleBound,0,0.5
R0202910,DoubleBound,0,1
R0200894,DoubleBound,0,1
R0402925,DoubleBound,0,8
R0300039,DoubleBound,0,1
R0201993,DoubleBound,0,1
R0102239,DoubleBound,0,1
R0102755,DoubleBound,0,1
R0302288,DoubleBound,0,1
R0302652,DoubleBound,0,1
R0300561,DoubleBound,0,1
R0101587,DoubleBound,0,1
R0102028,DoubleBound,0,1
R0102310,DoubleBound,0,1
R0300684,DoubleBound,0,1
R0300260,DoubleBound,0,1
R0200769,DoubleBound,0,1
R0100965,DoubleBound,0,0.5
R0301007,DoubleBound,0,1
R0202894,DoubleBound,0,1
R0101042,DoubleBound,0,0.5
R0202300,DoubleBound,0,1
R0202971,DoubleBound,0,1
R0102936,DoubleBound,0,1
R0301459,DoubleBound,0,1
R0300223,DoubleBound,0,1
R0302141,DoubleBound,0,1
R0202574,DoubleBound,0,1
R0302450,DoubleBound,0,1
R0201032,DoubleBound,0,1
R0301266,DoubleBound,0,1
R0402206,DoubleBound,0,8
R0101131,DoubleBound,0,0.5
R0300097,DoubleBound,0,1
R0302432,DoubleBound,0,1
R0402569,DoubleBound,0,8
R0102993,DoubleBound,0,1
R0200090,DoubleBound,0,1
R0200443,DoubleBound,0,1
R0301008,DoubleBound,0,1
R0402993,DoubleBound,0,8
R0201962,DoubleBound,0,1
R0200840,DoubleBound,0,1
R0301043,DoubleBound,0,1
R0302852,DoubleBound,0,1
R0402068,DoubleBound,0,8
R0101786,DoubleBound,0,1
R0200520,DoubleBound,0,1
R0101635,DoubleBound,0,1
R0101611,DoubleBound,0,1
R0301843,DoubleBound,0,1
R0302796,DoubleBound,0,1
R0302995,DoubleBound,0,1
R0300772,DoubleBound,0,1
R0101644,DoubleBound,0,1
R0300568,DoubleBound,0,1
R0301868,DoubleBound,0,1
R0200143,DoubleBound,0,1
R0101036,DoubleBound,0,0.5
R0401932,DoubleBound,0,8
R0301963,DoubleBound,0,1
R0202489,DoubleBound,0,1
R0200361,DoubleBound,0,1
R0300527,DoubleBound,0,1
R0301943,DoubleBound,0,1
R0301181,DoubleBound,0,1
R0300558,DoubleBound,0,1
R0201252,DoubleBound,0,1
R0200728,DoubleBound,0,1
R0301467,DoubleBound,0,1
R0100685,DoubleBound,0,0.5
R0201997,DoubleBound,0,1
R0102059,DoubleBound,0,1
R0201479,DoubleBound,0,1
R0402159,DoubleBound,0,8
R0301411,DoubleBound,0,1
R0401768,DoubleBound,0,8
R0302082,DoubleBound,0,1
R0201828,DoubleBound,0,1
R0302805,DoubleBound,0,1
R0202812,DoubleBound,0,1
R0402036,DoubleBound,0,8
R0102356,DoubleBound,0,1
R0200818,DoubleBound,0,1
R0101023,DoubleBound,0,0.5
R0402852,DoubleBound,0,8
R0102604,DoubleBound,0,1
R0102480,DoubleBound,0,1
R0201378,DoubleBound,0,1
R0102005,DoubleBound,0,1
R0302335,DoubleBound,0,1
R0402669,DoubleBound,0,8
R0402227,DoubleBound,0,8
R0101657,DoubleBound,0,1
R0402809,DoubleBound,0,8
R0301833,DoubleBound,0,1
R0201875,DoubleBound,0,1
R0302155,DoubleBound,0,1
R0202208,DoubleBound,0,1
R0402825,DoubleBound,0,8
R0202192,DoubleBound,0,1
R0402232,DoubleBound,0,8
R0100112,DoubleBound,0,0.5
R0102067,DoubleBound,0,1
R0102385,DoubleBound,0,1
R0100452,DoubleBound,0,0.5
R0201924,DoubleBound,0,1
R0402985,DoubleBound,0,8
R0102996,DoubleBound,0,1
R0301448,DoubleBound,0,1
R0300452,DoubleBound,0,1
R0102588,DoubleBound,0,1
R0202732,DoubleBound,0,1
R0302504,DoubleBound,0,1
R0202915,DoubleBound,0,1
R0200548,DoubleBound,0,1
R0202722,DoubleBound,0,1
R0300623,DoubleBound,0,1
R0100664,DoubleBound,0,0.5
R0101549,DoubleBound,0,1
R0301994,DoubleBound,0,1
R0201827,DoubleBound,0,1
R0301406,DoubleBound,0,1
R0402342,DoubleBound,0,8
R0100506,DoubleBound,0,0.5
R0201266,DoubleBound,0,1
R0100311,DoubleBound,0,0.5
R0100005,DoubleBound,0,0.5
R0402623,DoubleBound,0,8
R0402641,DoubleBound,0,8
R0300402,DoubleBound,0,1
R0301260,DoubleBound,0,1
R0300966,DoubleBound,0,1
R0101457,DoubleBound,0,0.5
R0302851,DoubleBound,0,1
R0101999,DoubleBound,0,1
R0300658,DoubleBound,0,1
R0302510,DoubleBound,0,1
R0101850,DoubleBound,0,1
R0100461,DoubleBound,0,0.5
R0401916,DoubleBound,0,8
R0302627,DoubleBound,0,1
R0300105,DoubleBound,0,1
R0401722,DoubleBound,0,8
R0302956,DoubleBound,0,1
R0202456,DoubleBound,0,1
R0300079,DoubleBound,0,1
R0300316,DoubleBound,0,1
R0200352,DoubleBound,0,1
R0301763,DoubleBound,0,1
R0302268,DoubleBound,0,1
R0402134,DoubleBound,0,8
R0300304,DoubleBound,0,1
R0301628,DoubleBound,0,1
R0202203,DoubleBound,0,1
R0202706,DoubleBound,0,1
R0402707,DoubleBound,0,8
R0102946,DoubleBound,0,1
R0300265,DoubleBound,0,1
R0402122,DoubleBound,0,8
R0300242,DoubleBound,0,1
R0101338,DoubleBound,0,0.5
R0302129,DoubleBound,0,1
R0301314,DoubleBound,0,1
R0101065,DoubleBound,0,0.5
R0101567,DoubleBound,0,1
R0301611,DoubleBound,0,1
R0100466,DoubleBound,0,0.5
R0301592,DoubleBound,0,1
R0100955,DoubleBound,0,0.5
R0102206,DoubleBound,0,1
R0402413,DoubleBound,0,8
R0100766,DoubleBound,0,0.5
R0401652,DoubleBound,0,8
R0300648,DoubleBound,0,1
R0101089,DoubleBound,0,0.5
R0302176,DoubleBound,0,1
R0302447,DoubleBound,0,1
R0202907,DoubleBound,0,1
R0100187,DoubleBound,0,0.5
R0200589,DoubleBound,0,1
R0402181,DoubleBound,0,8
R0302783,DoubleBound,0,1
R0101662,DoubleBound,0,1
R0202825,DoubleBound,0,1
R0401659,DoubleBound,0,8
R0200166,DoubleBound,0,1
R0100420,DoubleBound,0,0.5
R0302663,DoubleBound,0,1
R0102130,DoubleBound,0,1
R0402231,DoubleBound,0,8
R0101136,DoubleBound,0,0.5
R0301631,DoubleBound,0,1
R0100467,DoubleBound,0,0.5
R0101989,DoubleBound,0,1
R0402071,DoubleBound,0,8
R0100574,DoubleBound,0,0.5
R0201774,DoubleBound,0,1
R0102713,DoubleBound,0,1
R0402937,DoubleBound,0,8
R0100626,DoubleBound,0,0.5
R0200449,DoubleBound,0,1
R0301409,DoubleBound,0,1
R0401919,DoubleBound,0,8
R0401728,DoubleBound,0,8
R0100201,DoubleBound,0,0.5
R0402564,DoubleBound,0,8
R0302872,DoubleBound,0,1
R0302353,DoubleBound,0,1
R0402395,DoubleBound,0,8
R0200232,DoubleBound,0,1
R0202006,DoubleBound,0,1
R0100914,DoubleBound,0,0.5
R0201103,DoubleBound,0,1
R0202443,DoubleBound,0,1
R0101901,DoubleBound,0,1
R0100155,DoubleBound,0,0.5
R0301439,DoubleBound,0,1
R0101322,DoubleBound,0,0.5
R0302778,DoubleBound,0,1
R0102330,DoubleBound,0,1
R0100305,DoubleBound,0,0.5
R0102205,DoubleBound,0,1
R0301110,DoubleBound,0,1
R0302941,DoubleBound,0,1
R0201486,DoubleBound,0,1
R0102483,DoubleBound,0,1
R0201288,DoubleBound,0,1
R0401528,DoubleBound,0,8
R0200631,DoubleBound,0,1
R0202234,DoubleBound,0,1
R0402314,DoubleBound,0,8
R0401716,DoubleBound,0,8
R0100874,DoubleBound,0,0.5
R0302988,DoubleBound,0,1
R0300118,DoubleBound,0,1
R0401541,DoubleBound,0,8
R0101878,DoubleBound,0,1
R0201452,DoubleBound,0,1
R0200947,DoubleBound,0,1
R0100580,DoubleBound,0,0.5
R0300990,DoubleBound,0,1
R0102199,DoubleBound,0,1
R0101384,DoubleBound,0,0.5
R0302369,DoubleBound,0,1
R0300492,DoubleBound,0,1
R0402318,DoubleBound,0,8
R0301077,DoubleBound,0,1
R0202567,DoubleBound,0,1
R0102747,DoubleBound,0,1
R0402091,DoubleBound,0,8
R0100055,DoubleBound,0,0.5
R0202113,DoubleBound,0,1
R0300287,DoubleBound,0,1
R0200101,DoubleBound,0,1
R0100674,DoubleBound,0,0.5
R0301922,DoubleBound,0,1
R0100279,DoubleBound,0,0.5
R0402573,DoubleBound,0,8
R0202736,DoubleBound,0,1
R0201601,DoubleBound,0,1
R0201116,DoubleBound,0,1
R0201435,DoubleBound,0,1
R0402407,DoubleBound,0,8
R0100629,DoubleBound,0,0.5
R0100348,DoubleBound,0,0.5
R0201886,DoubleBound,0,1
R0101320,DoubleBound,0,0.5
R0101453,DoubleBound,0,0.5
R0201466,DoubleBound,0,1
R0401911,DoubleBound,0,8
R0200863,DoubleBound,0,1
R0401560,DoubleBound,0,8
R0402088,DoubleBound,0,8
R0302021,DoubleBound,0,1
R0101617,DoubleBound,0,1
R0201579,DoubleBound,0,1
R0402158,DoubleBound,0,8
R0200987,DoubleBound,0,1
R0200851,DoubleBound,0,1
R0300191,DoubleBound,0,1
R0301877,DoubleBound,0,1
R0200975,DoubleBound,0,1
R0300792,DoubleBound,0,1
R0300671,DoubleBound,0,1
R0200831,DoubleBound,0,1
R0301857,DoubleBound,0,1
R0201209,DoubleBound,0,1
R0202090,DoubleBound,0,1
R0200372,DoubleBound,0,1
R0302539,DoubleBound,0,1
R0300342,DoubleBound,0,1
R0202837,DoubleBound,0,1
R0202966,DoubleBound,0,1
R0302998,DoubleBound,0,1
R0302183,DoubleBound,0,1
R0200588,DoubleBound,0,1
R0101441,DoubleBound,0,0.5
R0200932,DoubleBound,0,1
R0401717,DoubleBound,0,8
R0102097,DoubleBound,0,1
R0100251,DoubleBound,0,0.5
R0301249,DoubleBound,0,1
R0200731,DoubleBound,0,1
R0202064,DoubleBound,0,1
R0402180,DoubleBound,0,8
R0101071,DoubleBound,0,0.5
R0302208,DoubleBound,0,1
R0201704,DoubleBound,0,1
R0102123,DoubleBound,0,1
R0301325,DoubleBound,0,1
R0402142,DoubleBound,0,8
R0102489,DoubleBound,0,1
R0200839,DoubleBound,0,1
R0401923,DoubleBound,0,8
R0102842,DoubleBound,0,1
R0100509,DoubleBound,0,0.5
R0401854,DoubleBound,0,8
R0200025,DoubleBound,0,1
R0100542,DoubleBound,0,0.5
R0200244,DoubleBound,0,1
R0300443,DoubleBound,0,1
R0301731,DoubleBound,0,1
R0401900,DoubleBound,0,8
R0100631,DoubleBound,0,0.5
R0402472,DoubleBound,0,8
R0202980,DoubleBound,0,1
R0301701,DoubleBound,0,1
R0301613,DoubleBound,0,1
R0201043,DoubleBound,0,1
R0302687,DoubleBound,0,1
R0200060,DoubleBound,0,1
R0200063,DoubleBound,0,1
R0300628,DoubleBound,0,1
R0300678,DoubleBound,0,1
R0101342,DoubleBound,0,0.5
R0202195,DoubleBound,0,1
R0302660,DoubleBound,0,1
R0100048,DoubleBound,0,0.5
R0402812,DoubleBound,0,8
R0102222,DoubleBound,0,1
R0201698,DoubleBound,0,1
R0101979,DoubleBound,0,1
R0200476,DoubleBound,0,1
R0200370,DoubleBound,0,1
R0201275,DoubleBound,0,1
R0102844,DoubleBound,0,1
R0101337,DoubleBound,0,0.5
R0302259,DoubleBound,0,1
R0202257,DoubleBound,0,1
R0200967,DoubleBound,0,1
R0102973,DoubleBound,0,1
R0200319,DoubleBound,0,1
R0200926,DoubleBound,0,1
R0301127,DoubleBound,0,1
R0301205,DoubleBound,0,1
R0201611,DoubleBound,0,1
R0202119,DoubleBound,0,1
R0302642,DoubleBound,0,1
R0301917,DoubleBound,0,1
R0101364,DoubleBound,0,0.5
R0301475,DoubleBound,0,1
R0402021,DoubleBound,0,8
R0202425,DoubleBound,0,1
R0401744,DoubleBound,0,8
R0100181,DoubleBound,0,0.5
R0101335,DoubleBound,0,0.5
R0302300,DoubleBound,0,1
R0101932,DoubleBound,0,1
R0200535,DoubleBound,0,1
R0102777,DoubleBound,0,1
R0102954,DoubleBound,0,1
R0102360,DoubleBound,0,1
R0202806,DoubleBound,0,1
R0102987,DoubleBound,0,1
R0200511,DoubleBound,0,1
R0301259,DoubleBound,0,1
R0202571,DoubleBound,0,1
R0101826,DoubleBound,0,1
R0101137,DoubleBound,0,0.5
R0201657,DoubleBound,0,1
R0300676,DoubleBound,0,1
R0102357,DoubleBound,0,1
R0402557,DoubleBound,0,8
R0201379,DoubleBound,0,1
R0201684,DoubleBound,0,1
R0300530,DoubleBound,0,1
R0401514,DoubleBound,0,8
R0402009,DoubleBound,0,8
R0402956,DoubleBound,0,8
R0401784,DoubleBound,0,8
R0202728,DoubleBound,0,1
R0201600,DoubleBound,0,1
R0302027,DoubleBound,0,1
R0401859,DoubleBound,0,8
R0301332,DoubleBound,0,1
R0302724,DoubleBound,0,1
R0101438,DoubleBound,0,0.5
R0202725,DoubleBound,0,1
R0100847,DoubleBound,0,0.5
R0402308,DoubleBound,0,8
R0202996,DoubleBound,0,1
R0202476,DoubleBound,0,1
R0102644,DoubleBound,0,1
R0401677,DoubleBound,0,8
R0301935,DoubleBound,0,1
R0102658,DoubleBound,0,1
R0201658,DoubleBound,0,1
R0302132,DoubleBound,0,1
R0302774,DoubleBound,0,1
R0200376,DoubleBound,0,1
R0301617,DoubleBound,0,1
R0301461,DoubleBound,0,1
R0202490,DoubleBound,0,1
R0100386,DoubleBound,0,0.5
R0202291,DoubleBound,0,1
R0101325,DoubleBound,0,0.5
R0402131,DoubleBound,0,8
R0302255,DoubleBound,0,1
R0402823,DoubleBound,0,8
R0301676,DoubleBound,0,1
R0300947,DoubleBound,0,1
R0402888,DoubleBound,0,8
R0302367,DoubleBound,0,1
R0202258,DoubleBound,0,1
R0300938,DoubleBound,0,1
R0201246,DoubleBound,0,1
R0301377,DoubleBound,0,1
R0102000,DoubleBound,0,1
R0201362,DoubleBound,0,1
R0300987,DoubleBound,0,1
R0202960,DoubleBound,0,1
R0300731,DoubleBound,0,1
R0102086,DoubleBound,0,1
R0302414,DoubleBound,0,1
R0102726,DoubleBound,0,1
R0100606,DoubleBound,0,0.5
R0300531,DoubleBound,0,1
R0101770,DoubleBound,0,1
R0300805,DoubleBound,0,1
R0101276,DoubleBound,0,0.5
R0401613,DoubleBound,0,8
R0401995,DoubleBound,0,8
R0202633,DoubleBound,0,1
R0301653,DoubleBound,0,1
R0200971,DoubleBound,0,1
R0102159,DoubleBound,0,1
R0301350,DoubleBound,0,1
R0202252,DoubleBound,0,1
R0202985,DoubleBound,0,1
R0100378,DoubleBound,0,0.5
R0102022,DoubleBound,0,1
R0101928,DoubleBound,0,1
R0301579,DoubleBound,0,1
R0100382,DoubleBound,0,0.5
R0200974,DoubleBound,0,1
R0200158,DoubleBound,0,1
R0100649,DoubleBound,0,0.5
R0402842,DoubleBound,0,8
R0202084,DoubleBound,0,1
R0402549,DoubleBound,0,8
R0302080,DoubleBound,0,1
R0100472,DoubleBound,0,0.5
R0102555,DoubleBound,0,1
R0100314,DoubleBound,0,0.5
R0101594,DoubleBound,0,1
R0300863,DoubleBound,0,1
R0301295,DoubleBound,0,1
R0402745,DoubleBound,0,8
R0202804,DoubleBound,0,1
R0202857,DoubleBound,0,1
R0201138,DoubleBound,0,1
R0402743,DoubleBound,0,8
R0101336,DoubleBound,0,0.5
R0300454,DoubleBound,0,1
R0201814,DoubleBound,0,1
R0402237,DoubleBound,0,8
R0202922,DoubleBound,0,1
R0200360,DoubleBound,0,1
R0200479,DoubleBound,0,1
R0402808,DoubleBound,0,8
R0102898,DoubleBound,0,1
R0301189,DoubleBound,0,1
R0202346,DoubleBound,0,1
R0102210,DoubleBound,0,1
R0302638,DoubleBound,0,1
R0302187,DoubleBound,0,1
R0302456,DoubleBound,0,1
R0300362,DoubleBound,0,1
R0402514,DoubleBound,0,8
R0301702,DoubleBound,0,1
R0202549,DoubleBound,0,1
R0300597,DoubleBound,0,1
R0100829,DoubleBound,0,0.5
R0102421,DoubleBound,0,1
R0301186,DoubleBound,0,1
R0202206,DoubleBound,0,1
R0202303,DoubleBound,0,1
R0402574,DoubleBound,0,8
R0401962,DoubleBound,0,8
R0100986,DoubleBound,0,0.5
R0301582,DoubleBound,0,1
R0200275,DoubleBound,0,1
R0201371,DoubleBound,0,1
R0401593,DoubleBound,0,8
R0201423,DoubleBound,0,1
R0202684,DoubleBound,0,1
R0202822,DoubleBound,0,1
